I;SUCCESSES;TRIALS
1;91;100
2;93;100
3;94;100
4;95;100
5;92;100
6;94;100
7;91;100
8;92;100
9;87;100
10;90;100
11;92;100
12;91;100
13;90;100
14;93;100
15;89;100
16;87;100
17;93;100
18;93;100
19;86;100
20;89;100
21;90;100
22;94;100
23;98;100
24;95;100
25;97;100
26;93;100
27;88;100
28;87;100
29;90;100
30;96;100
31;95;100
32;87;100
33;90;100
34;90;100
35;95;100
36;94;100
37;90;100
38;92;100
39;90;100
40;92;100
41;94;100
42;87;100
43;93;100
44;94;100
45;88;100
46;93;100
47;88;100
48;88;100
49;92;100
50;93;100
51;88;100
52;93;100
53;91;100
54;95;100
55;93;100
56;92;100
57;92;100
58;93;100
59;95;100
60;88;100
61;90;100
62;90;100
63;93;100
64;89;100
65;94;100
66;92;100
67;93;100
68;90;100
69;89;100
70;90;100
71;90;100
72;93;100
73;93;100
74;91;100
75;95;100
76;90;100
77;91;100
78;96;100
79;90;100
80;90;100
81;93;100
82;90;100
83;91;100
84;90;100
85;90;100
86;96;100
87;92;100
88;90;100
89;93;100
90;94;100
91;88;100
92;94;100
93;92;100
94;87;100
95;90;100
96;91;100
97;94;100
98;93;100
99;92;100
100;92;100
101;90;100
102;93;100
103;91;100
104;91;100
105;92;100
106;91;100
107;94;100
108;90;100
109;96;100
110;89;100
111;92;100
112;90;100
113;94;100
114;90;100
115;89;100
116;93;100
117;90;100
118;95;100
119;89;100
120;90;100
121;90;100
122;86;100
123;92;100
124;92;100
125;92;100
126;84;100
127;89;100
128;95;100
129;93;100
130;94;100
131;93;100
132;87;100
133;92;100
134;94;100
135;93;100
136;91;100
137;88;100
138;91;100
139;90;100
140;96;100
141;95;100
142;92;100
143;89;100
144;98;100
145;93;100
146;91;100
147;94;100
148;96;100
149;89;100
150;93;100
151;92;100
152;88;100
153;94;100
154;91;100
155;90;100
156;88;100
157;90;100
158;94;100
159;84;100
160;93;100
161;93;100
162;91;100
163;91;100
164;93;100
165;95;100
166;89;100
167;95;100
168;91;100
169;94;100
170;91;100
171;92;100
172;94;100
173;86;100
174;91;100
175;89;100
176;83;100
177;92;100
178;93;100
179;92;100
180;86;100
181;92;100
182;93;100
183;92;100
184;85;100
185;89;100
186;90;100
187;94;100
188;88;100
189;86;100
190;90;100
191;92;100
192;94;100
193;94;100
194;91;100
195;92;100
196;92;100
197;87;100
198;94;100
199;90;100
200;91;100
201;89;100
202;92;100
203;88;100
204;92;100
205;89;100
206;94;100
207;94;100
208;91;100
209;83;100
210;89;100
211;92;100
212;87;100
213;93;100
214;85;100
215;86;100
216;93;100
217;93;100
218;91;100
219;91;100
220;90;100
221;88;100
222;89;100
223;95;100
224;90;100
225;88;100
226;95;100
227;89;100
228;90;100
229;92;100
230;91;100
231;89;100
232;91;100
233;83;100
234;89;100
235;86;100
236;91;100
237;90;100
238;90;100
239;92;100
240;94;100
241;94;100
242;93;100
243;93;100
244;94;100
245;92;100
246;88;100
247;89;100
248;90;100
249;95;100
250;93;100
251;93;100
252;91;100
253;93;100
254;92;100
255;93;100
256;93;100
257;91;100
258;94;100
259;94;100
260;91;100
261;96;100
262;87;100
263;97;100
264;94;100
265;88;100
266;91;100
267;93;100
268;89;100
269;98;100
270;89;100
271;92;100
272;93;100
273;94;100
274;89;100
275;90;100
276;89;100
277;92;100
278;84;100
279;91;100
280;90;100
281;93;100
282;90;100
283;94;100
284;94;100
285;90;100
286;92;100
287;91;100
288;93;100
289;93;100
290;92;100
291;91;100
