I;SUCCESSES;TRIALS
1;95;100
2;94;100
3;91;100
4;94;100
5;92;100
6;94;100
7;87;100
8;87;100
9;89;100
10;90;100
11;93;100
12;88;100
13;90;100
14;91;100
15;97;100
16;91;100
17;92;100
18;90;100
19;96;100
20;93;100
21;86;100
22;88;100
23;92;100
24;91;100
25;89;100
26;96;100
27;90;100
28;90;100
29;94;100
30;96;100
31;87;100
32;91;100
33;90;100
34;88;100
35;91;100
36;93;100
37;93;100
38;94;100
39;91;100
40;93;100
41;93;100
42;94;100
43;89;100
44;90;100
45;94;100
46;94;100
47;91;100
48;93;100
49;97;100
50;86;100
51;92;100
52;93;100
53;86;100
54;91;100
55;92;100
56;96;100
57;89;100
58;90;100
59;89;100
60;88;100
61;95;100
62;89;100
63;93;100
64;86;100
65;90;100
66;91;100
67;88;100
68;91;100
69;90;100
70;87;100
71;96;100
72;97;100
73;94;100
74;91;100
75;88;100
76;92;100
77;92;100
78;88;100
79;91;100
80;89;100
81;94;100
82;88;100
83;92;100
84;93;100
85;91;100
86;83;100
87;92;100
88;92;100
89;93;100
90;91;100
91;90;100
92;88;100
93;91;100
94;91;100
95;92;100
96;94;100
97;93;100
98;92;100
99;93;100
100;91;100
