I;SUCCESSES;TRIALS
1;15;100
2;21;100
3;16;100
4;22;100
5;14;100
6;15;100
7;21;100
8;12;100
9;19;100
10;18;100
11;21;100
12;17;100
13;19;100
14;17;100
15;21;100
16;14;100
17;18;100
18;16;100
19;15;100
20;18;100
21;13;100
22;13;100
23;17;100
24;14;100
25;15;100
26;17;100
27;17;100
28;19;100
29;15;100
30;10;100
31;22;100
32;16;100
33;16;100
34;15;100
35;15;100
36;17;100
37;22;100
38;15;100
39;12;100
40;13;100
41;15;100
42;13;100
43;15;100
44;16;100
45;11;100
46;21;100
47;23;100
48;20;100
49;10;100
50;9;100
51;14;100
52;15;100
53;24;100
54;11;100
55;13;100
56;11;100
57;19;100
58;12;100
59;18;100
60;18;100
61;19;100
62;15;100
63;14;100
64;7;100
65;12;100
66;15;100
67;14;100
68;19;100
69;14;100
70;10;100
71;18;100
72;24;100
73;14;100
74;9;100
75;13;100
76;23;100
77;15;100
78;8;100
79;15;100
80;16;100
81;20;100
82;15;100
83;15;100
84;13;100
85;15;100
86;17;100
87;10;100
88;17;100
89;10;100
90;13;100
91;19;100
92;14;100
93;13;100
94;18;100
95;12;100
96;12;100
97;17;100
98;14;100
99;18;100
100;22;100
101;20;100
102;14;100
103;11;100
104;16;100
105;13;100
106;15;100
107;17;100
108;19;100
109;14;100
110;16;100
111;18;100
112;19;100
113;14;100
114;11;100
115;18;100
116;11;100
117;15;100
118;20;100
119;18;100
120;12;100
121;21;100
122;11;100
123;15;100
124;11;100
125;15;100
126;18;100
127;12;100
128;20;100
129;17;100
130;12;100
131;16;100
132;17;100
133;14;100
134;18;100
135;15;100
136;20;100
137;14;100
138;12;100
139;14;100
140;12;100
141;20;100
142;15;100
143;15;100
144;15;100
145;12;100
146;22;100
147;12;100
148;10;100
149;22;100
150;18;100
151;24;100
152;13;100
153;13;100
154;13;100
155;12;100
156;10;100
157;17;100
158;12;100
159;11;100
160;22;100
161;12;100
162;14;100
163;16;100
164;19;100
165;21;100
166;16;100
167;13;100
168;24;100
169;15;100
170;17;100
171;18;100
172;15;100
173;16;100
174;9;100
175;21;100
176;20;100
177;14;100
178;17;100
179;13;100
180;16;100
181;19;100
182;14;100
183;8;100
184;26;100
185;20;100
186;15;100
187;20;100
188;17;100
189;14;100
190;10;100
191;23;100
192;17;100
193;13;100
194;10;100
195;15;100
196;14;100
197;11;100
198;15;100
199;15;100
200;20;100
201;15;100
202;23;100
203;21;100
204;8;100
205;19;100
206;14;100
207;16;100
208;13;100
209;15;100
210;10;100
211;16;100
212;15;100
213;8;100
214;17;100
215;14;100
216;16;100
217;14;100
218;14;100
219;12;100
220;21;100
221;21;100
222;14;100
223;14;100
224;15;100
225;15;100
226;16;100
227;19;100
228;15;100
229;15;100
230;17;100
231;14;100
232;17;100
233;19;100
234;13;100
235;13;100
236;11;100
237;15;100
238;16;100
239;17;100
240;18;100
241;18;100
242;15;100
243;17;100
244;19;100
245;14;100
246;10;100
247;20;100
248;17;100
249;19;100
250;16;100
251;16;100
252;15;100
253;10;100
254;12;100
255;16;100
256;13;100
257;19;100
258;17;100
259;12;100
260;15;100
261;17;100
262;11;100
263;9;100
264;16;100
265;16;100
266;15;100
267;19;100
268;15;100
269;10;100
270;13;100
271;16;100
272;19;100
273;10;100
274;13;100
275;14;100
276;9;100
277;20;100
278;19;100
279;21;100
280;13;100
281;12;100
282;11;100
283;13;100
284;15;100
285;19;100
286;20;100
287;7;100
288;28;100
289;17;100
290;9;100
291;21;100
292;12;100
293;15;100
294;17;100
295;14;100
296;12;100
297;15;100
298;17;100
299;15;100
300;11;100
301;17;100
302;14;100
303;26;100
304;20;100
305;15;100
306;15;100
307;17;100
308;25;100
309;10;100
310;12;100
311;13;100
312;19;100
313;17;100
314;16;100
315;11;100
316;12;100
317;12;100
318;13;100
319;9;100
320;10;100
321;20;100
322;18;100
323;21;100
324;13;100
325;19;100
326;9;100
327;10;100
328;17;100
329;19;100
330;15;100
331;16;100
332;13;100
333;13;100
334;12;100
335;15;100
336;16;100
337;16;100
338;14;100
339;19;100
340;11;100
341;13;100
342;14;100
343;16;100
344;13;100
345;16;100
346;16;100
347;10;100
348;16;100
349;14;100
350;17;100
351;14;100
352;14;100
353;20;100
354;18;100
355;15;100
356;13;100
357;16;100
358;15;100
359;14;100
360;15;100
361;13;100
362;22;100
363;24;100
364;12;100
365;16;100
366;18;100
367;13;100
368;21;100
369;9;100
370;11;100
371;15;100
372;18;100
373;21;100
374;20;100
375;18;100
376;13;100
377;19;100
378;18;100
379;16;100
380;19;100
381;18;100
382;15;100
383;18;100
384;7;100
385;16;100
386;7;100
387;21;100
388;15;100
389;10;100
390;15;100
391;10;100
392;16;100
393;18;100
394;17;100
395;15;100
396;13;100
397;15;100
398;15;100
399;13;100
400;19;100
401;15;100
402;10;100
403;20;100
404;20;100
405;13;100
406;11;100
407;22;100
408;10;100
409;14;100
410;15;100
411;14;100
412;19;100
413;15;100
414;10;100
415;22;100
416;18;100
417;19;100
418;28;100
419;10;100
420;23;100
421;13;100
422;19;100
423;17;100
424;13;100
425;10;100
426;15;100
427;14;100
428;14;100
429;17;100
430;11;100
431;13;100
432;14;100
433;17;100
434;17;100
435;23;100
436;12;100
437;16;100
438;12;100
439;23;100
440;22;100
441;14;100
442;10;100
443;18;100
444;11;100
445;14;100
446;23;100
447;17;100
448;18;100
449;16;100
450;16;100
451;21;100
452;12;100
453;18;100
454;14;100
455;14;100
456;16;100
457;13;100
458;12;100
459;18;100
460;13;100
461;19;100
462;15;100
463;18;100
464;12;100
465;17;100
466;16;100
467;19;100
468;13;100
469;13;100
470;13;100
471;10;100
472;18;100
473;18;100
474;10;100
475;17;100
476;12;100
477;13;100
478;16;100
479;17;100
480;17;100
481;17;100
482;20;100
483;16;100
484;14;100
485;10;100
486;17;100
487;16;100
488;23;100
489;13;100
490;13;100
491;16;100
492;11;100
493;16;100
494;18;100
495;17;100
496;15;100
497;15;100
498;13;100
499;14;100
500;14;100
501;16;100
502;18;100
503;15;100
504;22;100
505;18;100
506;14;100
507;17;100
508;18;100
509;17;100
510;17;100
511;15;100
512;15;100
513;17;100
514;21;100
515;10;100
516;16;100
517;17;100
518;17;100
519;20;100
520;20;100
521;17;100
522;11;100
523;15;100
524;20;100
525;17;100
526;18;100
527;16;100
528;15;100
529;15;100
530;18;100
531;15;100
532;16;100
533;12;100
534;19;100
535;17;100
536;11;100
537;9;100
538;10;100
539;15;100
540;15;100
541;19;100
542;14;100
543;15;100
544;21;100
545;18;100
546;18;100
547;13;100
548;13;100
549;18;100
550;16;100
551;13;100
552;17;100
553;13;100
554;9;100
555;24;100
556;15;100
557;19;100
558;16;100
559;21;100
560;14;100
