I;SUCCESSES;TRIALS
1;94;100
2;88;100
3;94;100
4;87;100
5;85;100
6;84;100
7;90;100
8;93;100
9;91;100
10;87;100
11;91;100
12;88;100
13;84;100
14;86;100
15;89;100
16;89;100
17;86;100
18;92;100
19;86;100
20;87;100
21;89;100
22;91;100
23;88;100
24;87;100
25;85;100
26;94;100
27;88;100
28;91;100
29;93;100
30;91;100
31;87;100
32;86;100
33;89;100
34;93;100
35;87;100
36;92;100
37;89;100
38;90;100
39;90;100
40;84;100
41;91;100
42;94;100
43;91;100
44;88;100
45;95;100
46;95;100
47;89;100
48;91;100
49;88;100
50;89;100
51;94;100
52;88;100
53;87;100
54;93;100
55;93;100
56;90;100
57;95;100
58;91;100
59;86;100
60;85;100
61;85;100
62;89;100
63;92;100
64;88;100
65;90;100
66;91;100
67;88;100
68;94;100
69;86;100
70;86;100
71;92;100
72;90;100
73;91;100
74;85;100
75;89;100
76;95;100
77;91;100
78;88;100
79;83;100
80;89;100
81;84;100
82;85;100
83;87;100
84;88;100
85;84;100
86;90;100
87;85;100
88;92;100
89;92;100
90;84;100
91;88;100
92;94;100
93;88;100
94;90;100
95;89;100
96;88;100
97;82;100
98;90;100
99;92;100
100;94;100
