;nobs;step_,min;step_max;step_mean;step_median;step_std;successes;time_,min;time_max;time_mean;time_median;time_std;vnum
0;20;34;95;51.5;48.5;16.53934702459562;20;0.355545;1.144985;0.5742101500000001;0.5407230000000001;0.20597466140651255;1
1;20;36;93;57.8;59.0;15.857490343683011;20;0.537125;1.43081;0.8920679;0.8926535;0.24397308452653133;2
2;20;39;109;71.45;70.5;18.21942644541809;20;1.001396;2.445918;1.5391536499999998;1.470156;0.3518738179942172;3
3;20;53;129;77.05;76.0;20.77853459703066;20;1.38553;3.539941;2.0216799;2.002359;0.5547467293387046;4
4;20;50;144;90.4;87.0;23.686282950264697;20;1.794899;4.534697;2.7601301;2.683701;0.6711091178331509;5
5;20;52;111;89.4;89.5;13.897481786280563;20;2.384699;4.077114;3.3828864000000003;3.3651085;0.4395945998341426;6
6;20;66;146;95.35;91.0;18.75173325322222;20;3.108416;5.813033;4.17364995;3.9969275;0.6296928073655021;7
7;20;59;152;88.25;79.5;21.526437234247567;20;3.52639;6.445227;4.70280315;4.5374525000000006;0.8059430222992984;8
8;20;65;142;103.0;100.0;20.782203925474313;20;3.767972;8.130099;5.9268654;5.8327385;0.9938275539996564;9
9;20;63;145;99.15;103.0;21.879842321186867;20;4.984817;8.795172;6.51672865;6.476687500000001;0.9785629282093858;10
10;20;74;162;115.45;115.0;18.211191613949925;20;5.77397;9.623378;7.916136800000001;7.881735000000001;0.9680040796754734;11
11;20;77;154;112.45;113.0;20.130760045264065;20;7.129231;11.829323;8.95870075;8.790051;1.2339009125240112;12
12;20;77;148;107.15;103.0;19.189254805750014;20;6.521152;13.912737;10.06154875;9.84126;1.6449579792259093;13
13;20;76;169;119.75;119.0;21.945101959207207;20;8.753921;13.472665;11.10793975;10.8886505;1.382385586116691;14
14;20;81;168;114.2;107.5;22.82673870705143;20;8.736105;13.563939;11.24575725;11.162865;1.152738916745326;15
15;20;93;168;122.25;121.0;19.025969094897636;20;10.200151;16.200937;12.349277850000002;11.803550999999999;1.4300401370377083;16
16;20;80;173;122.75;118.5;21.71376291663884;20;9.268898;17.71226;13.5267821;13.525514;1.9131320549852773;17
17;20;76;175;128.15;130.5;29.62309065577054;20;11.153184;19.56178;15.109816050000003;15.03964;2.0673553571763;18
18;20;88;162;125.45;123.5;16.662757874973757;20;12.363323;19.23732;16.08921655;15.9116315;1.8759095999429312;19
19;20;82;159;114.5;113.5;17.937391114652097;20;11.088345;22.285232;16.980860299999996;16.7335305;2.513031365857778;20
20;20;84;172;122.0;116.5;24.748737341529164;20;14.620329;26.116691;18.411607449999998;17.699741;2.610052400254571;21
21;20;91;160;122.95;118.5;20.898504731200266;20;14.087946;27.40791;19.973421800000004;19.3536535;2.9409746956306444;22
22;20;110;163;127.4;124.5;14.914422550001726;20;17.085629;25.457123;21.383347750000006;21.420776;2.1958174911497967;23
23;20;87;164;120.25;121.0;19.351679513675293;20;18.146612;27.127948;22.594890149999998;22.436794499999998;2.5174880201805188;24
24;20;108;195;140.45;134.5;21.887153766536205;20;20.285074;29.384355;25.084827699999998;25.6825105;2.4592513193755554;25
25;20;91;170;124.45;123.5;20.715875554752685;20;21.509028;83.578911;36.380597300000005;27.0688445;18.684104426377164;26
26;20;83;163;132.7;135.0;19.475882521724145;20;18.988563;36.024245;26.340650399999998;25.835430000000002;4.025373884366847;27
27;20;95;169;136.5;136.0;22.32823324851297;20;22.252817;48.110454;29.477177649999998;28.947515;5.668521450613822;28
28;20;98;216;146.55;141.5;26.73850220188109;20;23.415861;39.855545;30.9618442;30.8396365;4.636926772859536;29
29;20;99;163;128.15;124.5;17.70670776852659;20;24.583529;37.110882;30.652831350000003;30.3205535;3.391573076595215;30
