expnum;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;10;False;0;0;0;0;0;0;0;0;0;0;0;0
2;10;False;0;0;0;0;0;2;0;0;1;0;0;3
3;10;False;0;0;0;0;0;0;0;0;0;0;0;0
4;10;False;0;0;0;0;0;1;0;0;1;0;0;2
5;10;False;2;0;0;0;0;0;0;0;0;0;0;0
6;10;False;0;0;0;0;0;1;0;0;2;0;0;3
7;10;False;0;0;0;0;0;0;0;0;0;0;0;0
8;10;False;0;0;0;0;0;0;0;0;0;0;0;0
9;10;False;0;0;0;0;0;0;0;0;1;0;0;1
10;10;False;0;0;0;0;0;0;0;0;0;0;0;0
11;10;True;0;0;1;2;0;1;1;0;2;0;0;7
12;10;True;0;0;0;0;1;3;2;0;1;0;1;8
13;10;True;0;0;1;1;1;1;3;0;1;0;0;8
14;10;True;0;0;1;0;1;2;1;1;0;0;0;6
15;10;True;0;0;1;0;0;2;2;0;1;0;0;6
16;10;True;0;0;1;1;1;2;1;0;2;0;0;8
17;10;True;0;0;1;1;1;2;2;0;1;0;0;8
18;10;True;0;0;1;1;0;2;2;0;1;0;1;8
19;10;True;0;0;1;3;2;2;3;1;1;0;1;14
20;10;True;0;0;2;0;0;1;1;0;2;0;0;6
21;15;False;0;1;0;0;0;0;1;0;0;1;2;5
22;15;False;0;1;0;0;0;0;0;0;0;1;1;3
23;15;False;0;1;0;0;0;0;0;0;0;1;1;3
24;15;False;0;1;0;1;0;0;0;0;0;1;1;4
25;15;False;0;1;0;0;0;0;1;0;0;1;1;4
26;15;False;0;0;0;0;0;0;1;0;0;0;1;2
27;15;False;0;1;0;0;0;0;0;0;0;1;1;3
28;15;False;0;1;0;0;0;0;0;0;0;0;0;1
29;15;False;0;0;0;0;0;0;0;0;1;0;0;1
30;15;False;0;1;0;0;0;0;0;0;0;0;1;2
31;15;True;0;0;0;0;1;1;1;0;0;1;3;7
32;15;True;0;2;0;0;1;0;1;1;0;1;1;7
33;15;True;0;2;0;0;1;1;1;1;1;1;3;11
34;15;True;2;1;1;0;2;1;2;0;0;1;2;10
35;15;True;0;1;0;0;0;1;2;0;0;1;2;7
36;15;True;0;2;0;0;0;1;2;0;0;1;1;7
37;15;True;2;1;0;0;0;1;1;1;0;1;2;7
38;15;True;0;2;0;0;0;0;1;1;1;1;1;7
39;15;True;0;1;1;0;1;1;1;0;1;1;0;7
40;15;True;0;2;1;0;2;1;2;1;0;0;1;10
41;20;False;0;0;0;0;0;0;0;0;0;0;0;0
42;20;False;2;0;0;0;0;0;1;0;0;0;1;2
43;20;False;0;0;0;0;0;0;0;0;0;0;1;1
44;20;False;0;0;0;0;0;0;0;0;0;0;1;1
45;20;False;0;0;0;0;0;0;1;0;0;0;1;2
46;20;False;0;0;0;0;0;0;0;0;0;0;0;0
47;20;False;0;0;0;0;0;0;0;0;0;0;0;0
48;20;False;0;0;0;0;0;0;0;0;0;0;1;1
49;20;False;2;0;0;0;0;0;1;0;0;0;1;2
50;20;False;0;0;0;0;0;0;1;0;0;0;1;2
51;20;True;0;1;2;1;1;3;1;0;1;2;2;14
52;20;True;0;1;1;1;0;2;1;0;1;2;1;10
53;20;True;2;0;1;2;0;2;1;1;0;3;2;12
54;20;True;2;1;1;1;1;3;1;0;1;3;2;14
55;20;True;0;1;2;1;1;2;1;0;1;2;1;12
56;20;True;0;1;1;1;1;1;0;0;1;2;3;11
57;20;True;2;1;1;3;1;0;0;0;1;3;2;12
58;20;True;2;1;0;2;1;3;1;0;1;3;1;13
59;20;True;0;1;1;2;1;2;0;0;1;2;2;12
60;20;True;0;1;2;3;1;1;1;0;0;3;3;15
61;25;False;0;0;0;0;0;1;1;0;0;1;0;3
62;25;False;0;0;0;0;0;1;0;1;0;0;0;2
63;25;False;0;0;0;0;0;1;0;0;0;0;0;1
64;25;False;0;0;0;0;0;0;1;0;0;1;0;2
65;25;False;2;0;0;0;0;1;0;1;0;1;0;3
66;25;False;0;0;0;0;0;0;1;0;0;1;0;2
67;25;False;0;0;0;0;0;1;1;0;0;1;0;3
68;25;False;0;0;0;0;0;2;0;0;0;0;0;2
69;25;False;0;0;0;0;0;2;0;0;0;0;0;2
70;25;False;0;0;0;0;0;2;0;0;0;0;0;2
71;25;True;0;2;0;1;2;2;2;3;2;1;0;15
72;25;True;4;2;1;2;1;3;1;3;1;1;0;15
73;25;True;2;2;1;2;3;3;2;4;0;1;0;18
74;25;True;4;2;1;2;2;2;3;2;1;1;0;16
75;25;True;2;3;1;2;1;2;1;3;1;1;0;15
76;25;True;0;2;1;1;2;2;1;3;2;1;0;15
77;25;True;2;1;0;1;0;2;2;2;1;2;0;11
78;25;True;2;1;0;0;1;2;2;4;1;1;0;12
79;25;True;4;0;1;3;2;3;2;2;3;2;0;18
80;25;True;0;2;1;2;1;3;2;3;2;1;0;17
81;30;False;0;0;0;0;0;0;1;0;0;0;0;1
82;30;False;0;1;0;0;0;0;0;0;0;0;0;1
83;30;False;0;0;0;0;0;0;0;0;0;0;0;0
84;30;False;0;0;0;0;0;0;0;0;0;0;0;0
85;30;False;0;0;0;0;0;0;0;0;1;0;0;1
86;30;False;0;0;0;0;0;0;0;0;1;0;0;1
87;30;False;0;1;0;0;0;0;1;0;0;0;0;2
88;30;False;0;0;0;0;0;0;1;0;0;0;0;1
89;30;False;0;1;0;0;0;0;0;0;0;0;0;1
90;30;False;0;1;0;0;0;0;1;0;0;0;0;2
91;30;True;8;1;4;2;1;4;3;1;5;2;2;25
92;30;True;8;1;3;2;2;1;3;2;2;2;3;21
93;30;True;4;3;2;2;3;2;1;3;3;2;4;25
94;30;True;4;5;2;2;2;4;2;2;3;1;4;27
95;30;True;7;1;4;3;2;1;2;0;3;2;4;22
96;30;True;2;3;2;1;5;2;3;2;5;3;4;30
97;30;True;5;4;2;1;4;2;3;4;5;1;4;30
98;30;True;8;4;4;2;1;1;3;1;3;1;3;23
99;30;True;4;3;4;1;3;2;1;2;4;1;3;24
100;30;True;4;2;4;3;3;4;2;0;2;1;3;24
101;35;False;0;1;1;0;0;0;0;0;0;0;0;2
102;35;False;0;0;1;0;0;0;0;0;0;0;0;1
103;35;False;0;1;0;0;0;0;0;0;0;0;0;1
104;35;False;0;1;0;0;0;0;0;0;0;1;0;2
105;35;False;0;3;0;1;0;0;0;0;0;1;0;5
106;35;False;0;2;0;0;0;0;0;0;0;0;0;2
107;35;False;0;1;1;0;0;0;0;0;0;0;0;2
108;35;False;0;1;1;0;0;0;0;0;0;0;0;2
109;35;False;0;1;0;0;0;0;0;0;0;0;0;1
110;35;False;0;2;0;0;0;0;0;0;0;0;0;2
111;35;True;4;3;2;3;4;2;2;2;1;4;1;24
112;35;True;10;5;4;4;3;1;2;2;2;4;3;30
113;35;True;3;4;4;3;1;2;1;3;3;4;2;27
114;35;True;6;4;4;4;4;2;2;3;2;4;1;30
115;35;True;3;4;1;3;2;4;2;2;3;3;2;26
116;35;True;2;5;2;2;2;3;2;2;3;4;2;27
117;35;True;3;3;1;3;3;2;3;1;3;3;2;24
118;35;True;2;2;2;4;4;3;2;1;2;4;3;27
119;35;True;4;4;1;3;4;2;2;3;2;5;2;28
120;35;True;5;3;3;4;5;3;3;3;3;2;3;32
121;40;False;0;0;0;0;0;1;0;0;0;0;1;2
122;40;False;0;0;0;0;1;0;0;0;0;0;1;2
123;40;False;0;0;0;0;0;0;0;0;0;0;1;1
124;40;False;0;0;0;0;0;0;0;0;0;0;1;1
125;40;False;0;0;0;0;0;0;0;0;0;0;1;1
126;40;False;0;0;0;0;0;0;0;0;0;0;1;1
127;40;False;0;0;0;0;1;0;0;0;0;0;1;2
128;40;False;0;0;0;0;0;0;0;0;0;0;1;1
129;40;False;0;0;0;0;0;0;0;0;0;0;1;1
130;40;False;0;0;0;0;0;1;0;0;0;0;1;2
131;40;True;7;3;2;4;2;4;3;2;2;5;5;32
132;40;True;7;4;3;2;3;3;6;1;0;1;0;23
133;40;True;6;4;4;2;3;4;3;1;2;4;4;31
134;40;True;11;5;3;3;4;1;5;1;1;3;4;30
135;40;True;8;4;4;3;3;5;3;2;2;3;3;32
136;40;True;6;3;2;4;3;5;5;1;0;3;2;28
137;40;True;6;3;3;3;3;6;3;1;3;2;4;31
138;40;True;5;2;2;4;5;2;4;1;3;3;3;29
139;40;True;16;2;3;3;5;2;4;1;2;2;3;27
140;40;True;14;4;4;3;4;5;7;1;1;2;1;32
