step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
1;4;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;[]
2;14;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2']
3;20;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1']
4;23;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5']
5;27;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1']
6;32;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4']
7;34;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4']
8;38;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5']
9;43;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4']
10;46;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2']
11;50;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
12;51;80;7;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
13;52;80;8;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
14;53;80;9;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
15;54;80;10;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
16;55;80;11;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
17;56;80;11;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
18;57;80;12;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
19;58;80;13;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
20;59;80;14;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
21;60;80;15;102;153;184;49;d(item5, ws2);None;None;False;False;False;0;0;0;0;0;['ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
