expnum;duration;num_robots;clever;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;0.525055;45;False;0;0;0;0;0;0;0;0;0;0;0;0
2;0.526235;45;False;0;0;0;0;0;0;0;0;0;0;0;0
3;0.526679;45;False;0;0;0;0;0;0;0;0;0;0;0;0
4;0.530827;45;False;0;0;0;0;0;0;0;0;0;0;0;0
5;0.518193;45;False;0;0;0;0;0;0;0;0;0;0;0;0
6;0.540048;45;False;0;0;0;0;0;0;0;0;0;0;0;0
7;0.524034;45;False;0;0;0;0;0;0;0;0;0;0;0;0
8;0.524988;45;False;0;0;0;0;0;0;0;0;0;0;0;0
9;0.542373;45;False;0;0;0;0;0;0;0;0;0;0;0;0
10;0.53038;45;False;0;0;0;0;0;0;0;0;0;0;0;0
11;0.525301;45;True;0;0;0;0;0;0;0;0;0;0;0;0
12;0.525656;45;True;0;0;0;0;0;0;0;0;0;0;0;0
13;0.526434;45;True;0;0;0;0;0;0;0;0;0;0;0;0
