expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;67.294536;20;False;0;0;0;0;0;0;0;0;0;0;0;1;1
2;64.591507;20;False;2;2;0;0;0;0;0;0;0;0;0;0;0
3;73.050235;20;False;0;0;0;0;0;0;0;0;0;0;0;1;1
4;66.199621;20;False;0;0;0;0;0;0;0;0;0;0;0;1;1
5;61.340884;20;False;0;0;0;0;0;0;0;0;0;1;0;1;2
6;62.248843;20;False;1;0;0;0;0;0;0;0;0;0;0;2;2
7;61.937382;20;False;0;0;0;0;0;0;0;0;0;0;0;1;1
8;64.827212;20;False;0;0;0;0;0;0;0;0;0;0;0;0;0
9;73.103295;20;False;0;0;0;0;0;0;0;0;0;0;0;1;1
10;62.022431;20;False;0;0;0;0;0;0;0;0;0;1;0;1;2
11;213.205226;20;True;0;0;0;2;3;2;1;2;0;1;0;1;12
12;205.805274;20;True;6;2;2;0;3;1;0;2;0;0;2;2;12
13;214.853836;20;True;3;2;0;2;4;0;0;1;0;2;2;0;11
14;219.271189;20;True;0;0;1;0;3;1;0;2;0;3;2;3;15
15;217.338242;20;True;0;0;0;2;2;1;1;2;0;2;1;2;13
16;205.87408;20;True;4;2;2;1;2;0;0;2;0;1;1;2;11
17;217.593748;20;True;1;0;2;1;2;0;1;1;0;2;1;4;14
18;217.120555;20;True;0;0;2;0;1;1;0;1;1;1;2;2;11
19;221.381651;20;True;6;2;0;1;2;0;1;1;0;1;2;1;9
20;216.899712;20;True;0;0;1;1;2;1;1;2;0;1;0;2;11
21;96.453146;25;False;0;0;0;0;0;0;0;1;0;0;0;0;1
22;81.667174;25;False;1;0;1;0;0;0;0;0;0;0;0;0;1
23;71.711554;25;False;1;0;1;0;0;0;0;0;0;0;1;0;2
24;90.516678;25;False;0;0;0;0;0;0;0;1;1;0;0;0;2
25;81.172981;25;False;0;0;0;0;0;0;0;1;0;0;0;0;1
26;83.247;25;False;0;0;0;0;0;0;0;1;0;0;0;0;1
27;89.129821;25;False;0;0;0;0;0;0;0;1;0;0;0;0;1
28;89.570811;25;False;0;0;0;0;0;0;0;1;0;0;0;0;1
29;75.493356;25;False;0;0;0;0;0;0;0;0;1;0;1;0;2
30;72.444968;25;False;0;0;0;0;0;0;0;0;0;0;1;0;1
31;278.960127;25;True;0;0;1;2;2;1;3;1;3;0;3;2;18
32;461.911479;25;True;7;4;1;2;2;1;3;0;1;0;3;0;13
33;261.237253;25;True;11;4;3;3;0;1;3;1;4;0;1;0;16
34;263.799015;25;True;22;6;1;2;1;1;3;0;4;0;4;0;16
35;265.097792;25;True;4;4;1;1;3;1;2;3;2;0;4;1;18
36;269.794622;25;True;3;2;1;2;2;2;3;1;2;0;3;1;17
37;269.520227;25;True;4;2;2;2;2;0;1;2;2;0;2;1;14
38;274.416981;25;True;11;0;0;4;3;2;0;2;1;0;5;1;18
39;280.302011;25;True;2;2;1;3;1;1;1;2;3;0;2;1;15
40;280.845695;25;True;6;0;1;2;3;3;2;1;2;0;4;1;19
41;93.018362;30;False;0;0;0;0;0;0;0;1;1;0;0;0;2
42;98.531314;30;False;0;0;0;0;0;0;0;0;1;0;0;0;1
43;90.789181;30;False;0;0;1;1;0;0;0;0;0;0;0;0;2
44;112.771592;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
45;99.617315;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
46;88.088077;30;False;0;0;1;0;0;0;0;0;0;0;0;0;1
47;106.315926;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
48;106.264244;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
