step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
1;4;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;[]
2;14;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2']
3;20;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1']
4;23;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5']
5;27;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1']
6;32;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4']
7;34;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4']
8;38;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5']
9;43;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4']
10;46;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2']
11;50;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws1', 'ws5', 'ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
12;51;80;7;102;153;184;49;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
13;52;81;7;102;153;184;49;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
14;53;81;7;101;153;183;49;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
15;54;82;7;101;154;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
16;55;82;8;101;154;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
17;56;83;8;101;155;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
18;57;83;9;101;155;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
19;58;84;9;100;155;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
20;59;84;10;100;156;183;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
21;60;84;10;99;156;183;47;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3']
