step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
1;5;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;[]
2;11;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2']
3;21;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2']
4;28;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2', 'ws4']
5;42;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2', 'ws4', 'ws3']
6;43;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2', 'ws4', 'ws3', 'ws2']
7;45;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2', 'ws4', 'ws3', 'ws2', 'ws1']
8;50;80;7;102;153;184;49;None;None;None;False;False;False;0;0;0;0;0;['ws2', 'ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1']
9;51;80;7;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1']
10;52;81;7;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1']
11;53;81;8;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1']
12;54;81;8;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1']
13;55;81;9;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3']
14;56;81;9;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3']
15;57;81;10;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3']
16;58;82;10;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3']
17;59;82;11;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3']
18;60;83;11;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3']
19;61;83;12;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3']
20;62;83;12;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1']
21;63;83;13;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1']
22;64;83;13;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1']
23;65;83;14;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1']
24;66;84;14;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1']
25;67;84;15;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5']
26;68;85;15;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5']
27;69;85;16;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5']
28;70;85;16;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4']
29;71;85;17;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4', 'ws3']
30;72;86;17;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4', 'ws3']
31;73;86;18;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4', 'ws3']
32;74;87;18;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4', 'ws3']
33;75;87;18;102;153;184;49;d(item11, ws2);None;None;False;False;False;0;0;0;0;0;['ws2', 'ws4', 'ws3', 'ws2', 'ws1', 'ws1', 'ws3', 'ws3', 'ws1', 'ws5', 'ws4', 'ws3']
