step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
1;11;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;[]
2;18;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4']
3;24;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1']
4;30;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3']
5;32;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1']
6;34;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4']
7;35;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3']
8;39;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3']
9;41;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5']
10;45;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3']
11;50;100;136;171;3;183;187;None;None;None;False;False;False;0;0;0;0;0;['ws5', 'ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5']
12;51;100;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5']
13;52;101;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5']
14;53;102;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3']
15;54;103;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3']
16;55;104;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3']
17;56;104;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5']
18;57;105;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5']
19;58;105;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
20;59;106;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
21;60;106;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
22;61;107;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
23;62;108;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
24;63;108;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
25;64;108;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
26;65;107;136;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
27;66;107;135;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
28;67;107;135;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
29;68;107;134;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
30;69;106;134;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
31;70;106;134;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
32;71;105;134;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
33;72;105;133;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
34;73;104;133;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2']
35;74;104;132;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
36;75;103;132;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
37;76;103;131;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
38;77;102;131;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
39;78;102;130;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
40;79;101;130;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
41;80;101;130;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
42;81;101;130;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
43;82;101;129;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
44;83;100;129;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
45;84;100;129;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
46;85;99;129;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
47;86;99;128;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
48;87;98;128;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
49;88;98;127;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
50;89;97;127;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
51;90;97;127;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
52;91;97;127;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2']
53;92;97;126;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
54;93;97;126;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
55;94;97;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
56;95;96;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
57;96;95;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
58;97;94;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
59;98;93;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
60;99;92;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
61;100;91;125;171;3;183;187;d(item11, ws5);None;None;False;False;False;0;0;0;0;0;['ws4', 'ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
62;101;90;125;171;3;183;187;d(item11, ws5);d(item15, ws4);None;False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
63;102;89;125;171;3;183;187;d(item11, ws5);d(item15, ws4);None;False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
64;103;88;125;170;3;183;187;d(item11, ws5);d(item15, ws4);None;False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws1', 'ws4', 'ws3', 'ws3', 'ws2', 'ws5', 'ws3', 'ws2', 'ws5', 'ws3', 'ws5', 'ws2', 'ws2', 'ws5']
