expnum;duration;num_robots;clever;num_collisions;num_broken;wscount1;wscount2;wscount3;wscount4;wscount5;wscount6;wscount7;wscount8;wscount9;wscount10;wscountsum
1;57.431752;5;False;0;0;0;0;0;0;0;0;0;0;0;0;0
2;67.400417;5;True;0;0;0;0;0;0;1;0;0;0;0;1;2
3;147.904642;10;True;0;0;0;0;0;2;0;1;0;2;0;2;7
4;63.865473;10;False;0;0;0;0;0;0;0;0;0;1;0;0;1
5;272.491186;15;True;0;0;0;0;2;1;1;0;1;1;1;1;8
6;130.293074;15;False;0;0;1;0;0;0;0;0;0;0;0;0;1
7;431.771317;20;True;0;0;1;1;0;0;2;1;1;1;0;1;8
8;158.447385;20;False;0;0;0;0;0;0;0;0;0;0;1;0;1
9;662.141315;25;True;2;0;0;2;2;0;1;3;2;1;2;2;15
10;212.061868;25;False;0;0;0;0;0;0;0;0;0;0;0;0;0
11;823.386712;30;True;32;8;4;6;2;2;0;4;0;1;6;2;27
12;223.735526;30;False;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1129.156362;35;True;8;2;4;2;4;3;2;4;1;4;3;3;30
14;276.834784;35;False;0;0;0;0;0;0;0;0;0;0;0;1;1
15;839.136497;40;True;5;2;0;2;0;0;3;2;0;0;1;1;9
16;328.335609;40;False;0;0;0;1;0;0;0;0;0;0;0;0;1
17;1778.174129;45;True;23;11;4;2;4;5;3;0;3;4;0;3;28
18;215.143296;45;False;0;0;0;0;0;0;1;0;0;0;0;0;1
19;2123.954867;50;True;27;9;2;5;5;4;1;3;1;2;3;5;31
20;301.360575;50;False;0;0;0;0;0;1;0;0;0;1;0;0;2
21;1308.546663;55;True;20;4;1;1;0;3;3;2;2;2;0;0;14
22;555.27959;55;False;1;0;0;0;0;0;0;0;0;0;0;0;0
23;3872.745901;60;True;43;12;7;1;5;4;2;6;4;5;5;3;42
24;515.204385;60;False;0;0;0;0;1;0;0;0;0;0;0;0;1
25;4218.232483;65;True;39;15;4;3;3;3;3;5;4;4;7;5;41
26;583.900816;65;False;1;0;0;0;0;0;0;0;0;0;0;1;1
27;4328.532981;70;True;72;23;3;3;5;6;2;3;4;5;3;3;37
28;640.132441;70;False;0;0;0;0;0;1;0;0;0;0;0;0;1
29;5383.152422;75;True;46;17;2;6;5;5;1;4;2;3;5;1;34
30;623.725517;75;False;2;0;1;0;0;0;0;0;0;0;0;0;1
31;5828.207742;80;True;46;12;3;3;6;3;3;4;4;7;4;4;41
32;783.7266;80;False;0;0;1;0;0;0;0;0;0;0;0;0;1
33;7428.515875;85;True;62;17;5;2;3;4;4;4;5;3;1;3;34
34;798.00518;85;False;0;0;0;1;0;0;0;0;0;0;0;0;1
35;7264.50379;90;True;49;15;6;4;6;4;3;8;6;5;4;5;51
36;893.968258;90;False;0;0;1;0;0;0;0;0;0;0;0;0;1
37;9287.628692;95;True;51;14;2;2;6;2;4;4;5;3;5;7;40
38;891.674242;95;False;1;2;0;0;0;0;0;0;0;0;0;0;0
39;9044.595658;100;True;70;14;3;8;3;3;2;5;3;3;4;5;39
40;875.997628;100;False;0;0;0;0;0;0;0;0;0;0;0;0;0
